PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=293 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=271 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=254 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=301 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=340 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=337 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=312 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=289 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=344 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=295 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=300 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=314 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=318 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=312 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=305 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=329 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=333 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=313 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=295 ms
