1702166458.734320,3
1702166458.872393,10
1702166459.009853,22
1702166459.131222,31
1702166459.241419,40
1702166459.350386,46
1702166459.458460,50
1702166459.584697,56
1702166459.692459,63
1702166459.798133,70
1702166459.912484,77
1702166460.028731,82
1702166460.154657,89
1702166460.271973,98
1702166460.389082,100
1702166460.516135,100
1702166460.638715,100
1702166460.750177,100
1702166460.867556,100
1702166460.980735,100
1702166461.088034,100
1702166461.211821,100
1702166461.323968,100
1702166461.452261,100
1702166461.564705,100
1702166461.688166,100
1702166461.812873,100
1702166461.919772,100
1702166462.032050,100
1702166462.142473,100
1702166462.266008,99
1702166462.391183,99
1702166462.530185,99
1702166462.662104,100
1702166462.769153,100
1702166462.889938,100
1702166463.008274,100
1702166463.129404,100
1702166463.252064,99
1702166463.372804,100
1702166463.493562,100
1702166463.614051,100
1702166463.733829,100
1702166463.849555,100
1702166463.973232,100
1702166464.100318,99
1702166464.213315,98
1702166464.320971,98
1702166464.443996,96
1702166464.555834,95
1702166464.687286,97
1702166464.796207,98
1702166464.904657,100
1702166465.013673,100
1702166465.148796,99
1702166465.264152,99
1702166465.380842,99
1702166465.508848,99
1702166465.620679,99
1702166465.753365,99
1702166465.861316,100
1702166465.967863,99
1702166466.082673,99
1702166466.189236,100
1702166466.313160,100
1702166466.449975,100
1702166466.558076,99
1702166466.666530,99
1702166466.774035,100
1702166466.904376,99
1702166467.018971,100
1702166467.126044,99
1702166467.239732,99
1702166467.356052,100
1702166467.469964,100
1702166467.579809,99
1702166467.701474,100
1702166467.815477,99
1702166467.922786,100
1702166468.037432,95
1702166468.142577,93
1702166468.266317,93
1702166468.384958,92
1702166468.507226,92
1702166468.615918,90
1702166468.720551,89
1702166468.826765,89
1702166468.944220,90
1702166469.049466,89
1702166469.158159,89
1702166469.269239,90
1702166469.399220,89
1702166469.517264,88
1702166469.623986,87
1702166469.731580,86
1702166469.847675,85
1702166469.965669,86
1702166470.078689,86
1702166470.196714,83
1702166470.326427,78
1702166470.453239,75
1702166470.573278,72
1702166470.694244,68
1702166470.817392,66
1702166470.944484,67
1702166471.062256,64
1702166471.179826,62
1702166471.301336,61
1702166471.424888,59
1702166471.537992,59
1702166471.667510,58
1702166471.784877,59
1702166471.900734,60
1702166472.017911,60
1702166472.133235,60
1702166472.260124,61
1702166472.371484,61
1702166472.486835,60
1702166472.607768,59
1702166472.722525,60
1702166472.827109,61
1702166472.937481,60
1702166473.047439,61
1702166473.181404,60
1702166473.298410,60
1702166473.404615,60
1702166473.528706,61
1702166473.642741,61
1702166473.775219,61
1702166473.880009,62
1702166474.002275,61
1702166474.109933,61
1702166474.222253,61
1702166474.346872,61
1702166474.479066,59
1702166474.584382,60
1702166474.702803,59
1702166474.814325,59
1702166474.921844,58
1702166475.037364,58
1702166475.176509,59
1702166475.284964,59
1702166475.398020,59
1702166475.513658,59
1702166475.632815,59
1702166475.745910,59
1702166475.866205,60
1702166475.984390,60
1702166476.093581,60
1702166476.218504,60
1702166476.324072,60
1702166476.431840,60
1702166476.546462,60
1702166476.665079,60
1702166476.784113,60
1702166476.916842,60
1702166477.021216,60
1702166477.139223,59
1702166477.250513,59
1702166477.372085,59
1702166477.479241,59
1702166477.604671,59
1702166477.733493,58
1702166477.843301,59
1702166477.972230,58
1702166478.087189,58
1702166478.215487,60
1702166478.326650,60
1702166478.449348,60
1702166478.559358,60
1702166478.684948,61
1702166478.810508,61
1702166478.953650,61
1702166479.067662,61
1702166479.186286,61
1702166479.316242,61
1702166479.422698,60
1702166479.552963,62
1702166479.674416,62
1702166479.782212,62
1702166479.889824,63
1702166479.999694,62
1702166480.113666,62
1702166480.232495,62
1702166480.349149,62
1702166480.481829,62
