PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=903 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=854 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=874 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=903 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=921 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=957 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=985 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=951 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=957 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=1000 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=962 ms
