PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=252 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=423 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=537 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=737 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=909 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=1043 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=1196 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1336 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1484 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1594 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1676 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1773 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1763 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1739 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1744 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1735 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1772 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1736 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=1745 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1716 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=1735 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=1745 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=1757 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=1682 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=1623 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=1608 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=1552 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=1497 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=1452 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=1402 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=1349 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=1285 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=1222 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=1252 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=1223 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=1205 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=1110 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=1107 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=1121 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=1110 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=1083 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=1132 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=1096 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=1024 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=1026 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=1058 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=1027 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=1026 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=1038 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=1047 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=2161 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=2050 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=1931 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=1819 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=1715 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=1604 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=1510 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=1307 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=1197 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=1082 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=976 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=866 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=534 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=426 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=302 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=76.0 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=896 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=896 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=888 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=875 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=847 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=898 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=879 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=876 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=880 ms
